"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 11:27:09:951 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"8","15","3","500","10","2.15","3","1","1.9","2","301","127","473","258","2857","4","33","1132"
"5","15","3","500","10","2.15","3","1","1.9","2","301","314","511","540","2913","11","65","1763"
"3","15","3","500","10","2.15","3","1","1.9","2","301","873","592","1414","3075","33","131","2140"
"7","15","3","500","10","2.15","3","1","1.9","2","301","903","462","1614","2581","27","168","2332"
"1","15","3","500","10","2.15","3","1","1.9","2","301","913","440","1436","3211","28","143","2746"
"10","15","3","500","10","2.15","3","1","1.9","2","301","976","630","1565","3313","33","149","2732"
"6","15","3","500","10","2.15","3","1","1.9","2","301","1488","354","2493","2531","51","248","2961"
"2","15","3","500","10","2.15","3","1","1.9","2","301","1975","404","3131","2580","73","317","4636"
"4","15","3","500","10","2.15","3","1","1.9","2","301","2168","498","3634","2670","90","395","3587"
"13","15","3","500","10","2.15","3","1","1.9","2","301","393","339","698","2050","16","73","1954"
"14","15","3","500","10","2.15","3","1","1.9","2","301","205","443","370","2956","13","46","783"
"11","15","3","500","10","2.15","3","1","1.9","2","301","773","515","1213","2903","24","96","2403"
"9","15","3","500","10","2.15","3","1","1.9","2","301","3246","503","5281","3068","106","544","5186"
"12","15","3","500","10","2.15","3","1","1.9","2","301","894","354","1526","2410","28","140","3103"
"17","15","3","500","10","2.15","3","1","1.9","2","301","27","642","112","3458","2","22","783"
"15","15","3","500","10","2.15","3","1","1.9","2","301","982","569","1662","3079","42","163","2585"
"16","15","3","500","10","2.15","3","1","1.9","2","301","1302","408","2202","2740","54","213","3023"
"19","15","3","500","10","2.15","3","1","1.9","2","301","613","420","991","2896","19","87","1913"
"20","15","3","500","10","2.15","3","1","1.9","2","301","366","416","731","2633","18","105","903"
"24","15","3","500","10","2.15","3","1","1.9","2","301","307","393","536","2641","10","64","1610"
"23","15","3","500","10","2.15","3","1","1.9","2","301","1302","402","2119","2344","59","203","3054"
"22","15","3","500","10","2.15","3","1","1.9","2","301","984","523","1657","3108","41","165","2338"
"18","15","3","500","10","2.15","3","1","1.9","2","301","3024","393","4901","2658","104","429","4784"
"27","15","3","500","10","2.15","3","1","1.9","2","301","0","592","4","3145","0","3","783"
"25","15","3","500","10","2.15","3","1","1.9","2","301","1185","474","1963","2635","42","191","3097"
"21","15","3","500","10","2.15","3","1","1.9","2","301","1791","412","3056","2895","62","311","4273"
"26","15","3","500","10","2.15","3","1","1.9","2","301","2026","331","3440","2435","85","376","4494"
"30","15","3","500","10","2.15","3","1","1.9","2","301","1102","295","1807","2017","35","153","2935"
"28","15","3","500","10","2.15","3","1","1.9","2","301","2420","480","4172","3092","107","476","4751"
"29","15","3","500","10","2.15","3","1","1.9","2","301","2686","501","4475","3080","106","458","4811"
"33","15","3","500","10","2.15","3","1","2.1","2","301","429","12944","950","42333","22","122","2003"
"35","15","3","500","10","2.15","3","1","2.1","2","301","252","11895","567","46333","13","79","1605"
"37","15","3","500","10","2.15","3","1","2.1","2","301","148","12349","369","47830","4","69","1369"
"32","15","3","500","10","2.15","3","1","2.1","2","301","646","12045","1237","44654","29","105","2150"
"39","15","3","500","10","2.15","3","1","2.1","2","301","336","12181","688","44401","16","75","1777"
"40","15","3","500","10","2.15","3","1","2.1","2","301","275","12701","601","44464","15","84","1529"
"36","15","3","500","10","2.15","3","1","2.1","2","301","617","12746","1382","50475","36","178","2346"
"38","15","3","500","10","2.15","3","1","2.1","2","301","466","12442","953","45846","22","130","2289"
"34","15","3","500","10","2.15","3","1","2.1","2","301","677","12285","1474","47390","40","187","2988"
"31","15","3","500","10","2.15","3","1","2.1","2","301","1110","13512","2293","47156","54","276","4387"
"43","15","3","500","10","2.15","3","1","2.1","2","301","0","12318","2","46428","0","1","783"
"42","15","3","500","10","2.15","3","1","2.1","2","301","180","11915","346","44385","9","50","1489"
"45","15","3","500","10","2.15","3","1","2.1","2","301","127","11464","551","43646","14","115","783"
"41","15","3","500","10","2.15","3","1","2.1","2","301","404","12508","967","45215","21","148","2309"
"47","15","3","500","10","2.15","3","1","2.1","2","301","171","11553","369","45067","10","52","977"
"44","15","3","500","10","2.15","3","1","2.1","2","301","338","12757","937","41949","15","148","2294"
"46","15","3","500","10","2.15","3","1","2.1","2","301","386","12011","851","45448","24","116","1980"
"48","15","3","500","10","2.15","3","1","2.1","2","301","412","13024","906","41864","21","142","2254"
"49","15","3","500","10","2.15","3","1","2.1","2","301","804","13113","1826","47278","52","260","3324"
"51","15","3","500","10","2.15","3","1","2.1","2","301","0","10648","8","48793","0","0","783"
"52","15","3","500","10","2.15","3","1","2.1","2","301","83","11862","303","44145","9","63","783"
