"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"7","15","2","250","10","2.25","1","2","2","2","301","196","140","333","904","5","31","783"
"1","15","2","250","10","2.25","1","2","2","2","301","130","110","215","1078","4","25","1027"
"6","15","2","250","10","2.25","1","2","2","2","301","28","173","52","1147","0","4","864"
"11","15","2","250","10","2.25","1","2","2","2","301","0","162","1","1180","0","3","783"
"10","15","2","250","10","2.25","1","2","2","2","301","325","132","541","767","9","59","1277"
"5","15","2","250","10","2.25","1","2","2","2","301","247","177","421","1258","9","50","1242"
"3","15","2","250","10","2.25","1","2","2","2","301","230","223","417","1312","15","45","1251"
"4","15","2","250","10","2.25","1","2","2","2","301","461","141","812","1039","19","98","1657"
"9","15","2","250","10","2.25","1","2","2","2","301","409","202","754","1234","16","94","1394"
"8","15","2","250","10","2.25","1","2","2","2","301","438","206","733","1175","9","84","1490"
"12","15","2","250","10","2.25","1","2","2","2","301","1554","68","2573","840","65","264","2785"
"2","15","2","250","10","2.25","1","2","2","2","301","1709","198","2693","1199","62","270","2801"
"16","15","2","250","10","2.25","1","2","2","2","301","37","221","100","1272","0","21","927"
"15","15","2","250","10","2.25","1","2","2","2","301","320","155","518","1157","7","48","1235"
"17","15","2","250","10","2.25","1","2","2","2","301","152","239","262","1283","8","32","1090"
"19","15","2","250","10","2.25","1","2","2","2","301","440","258","683","1518","13","62","1401"
"21","15","2","250","10","2.25","1","2","2","2","301","710","150","1104","1224","24","105","1934"
"20","15","2","250","10","2.25","1","2","2","2","301","597","250","982","1336","21","108","1652"
"14","15","2","250","10","2.25","1","2","2","2","301","1257","152","2085","1047","45","209","2691"
"18","15","2","250","10","2.25","1","2","2","2","301","1083","195","1920","1171","34","196","2247"
"13","15","2","250","10","2.25","1","2","2","2","301","1506","180","2605","1238","57","267","2855"
"22","15","2","250","10","2.25","1","2","2","2","301","1239","256","1982","1314","50","173","2587"
"24","15","2","250","10","2.25","1","2","2","2","301","93","203","155","1257","5","16","988"
"23","15","2","250","10","2.25","1","2","2","2","301","813","111","1274","1306","23","94","1830"
"26","15","2","250","10","2.25","1","2","2","2","301","0","204","25","1270","0","8","790"
"25","15","2","250","10","2.25","1","2","2","2","301","670","216","1121","1358","24","112","1786"
"27","15","2","250","10","2.25","1","2","2","2","301","664","194","1169","1143","16","107","1895"
"32","15","2","250","10","2.25","1","2","2","2","301","0","35","14","624","0","5","794"
"28","15","2","250","10","2.25","1","2","2","2","301","315","281","558","1445","18","79","1402"
"33","15","2","250","10","2.25","1","2","2","2","301","89","74","152","801","2","14","999"
"31","15","2","250","10","2.25","1","2","2","2","301","481","148","865","1018","28","125","1569"
"29","15","2","250","10","2.25","1","2","2","2","301","643","199","1041","1211","16","89","1765"
"30","15","2","250","10","2.25","1","2","2","2","301","949","192","1555","1098","35","152","2077"
"35","15","2","250","10","2.25","1","2","2","2","301","403","229","723","1277","10","78","1702"
"36","15","2","250","10","2.25","1","2","2","2","301","696","184","1242","1085","24","121","2243"
"34","15","2","250","10","2.25","1","2","2","2","301","1220","126","2018","994","43","182","2481"
"40","15","2","250","10","2.25","1","2","2","2","301","0","113","11","879","0","6","788"
"38","15","2","250","10","2.25","1","2","2","2","301","0","113","0","909","0","0","783"
"39","15","2","250","10","2.25","1","2","2","2","301","29","106","68","799","1","5","881"
"42","15","2","250","10","2.25","1","2","2","2","301","0","263","7","1501","0","2","794"
"43","15","2","250","10","2.25","1","2","2","2","301","420","134","668","1049","13","51","1465"
"37","15","2","250","10","2.25","1","2","2","2","301","1571","104","2553","1013","58","273","2720"
"44","15","2","250","10","2.25","1","2","2","2","301","405","167","640","1244","20","66","1427"
"45","15","2","250","10","2.25","1","2","2","2","301","72","270","110","1448","3","6","783"
"41","15","2","250","10","2.25","1","2","2","2","301","1045","194","1658","1413","45","161","2336"
"46","15","2","250","10","2.25","1","2","2","2","301","377","99","644","950","19","81","1544"
"48","15","2","250","10","2.25","1","2","2","2","301","0","282","0","1408","0","1","783"
"49","15","2","250","10","2.25","1","2","2","2","301","104","183","167","1299","2","18","1009"
"47","15","2","250","10","2.25","1","2","2","2","301","1088","170","1820","1038","53","217","2534"
"50","15","2","250","10","2.25","1","2","2","2","301","345","194","683","1253","15","91","1153"
"53","15","2","250","10","2.25","3","2","2","2","301","45","190","76","1216","3","11","853"
"56","15","2","250","10","2.25","3","2","2","2","301","56","122","122","910","1","14","881"
"55","15","2","250","10","2.25","3","2","2","2","301","0","208","0","1318","0","0","783"
"52","15","2","250","10","2.25","3","2","2","2","301","911","157","1596","1019","30","172","1666"
"54","15","2","250","10","2.25","3","2","2","2","301","584","167","965","1108","11","94","1426"
"51","15","2","250","10","2.25","3","2","2","2","301","1494","122","2324","1215","51","222","2244"
"57","15","2","250","10","2.25","3","2","2","2","301","0","231","18","1408","0","5","783"
"58","15","2","250","10","2.25","3","2","2","2","301","450","166","906","1116","29","121","908"
"59","15","2","250","10","2.25","3","2","2","2","301","303","150","569","1085","9","68","1195"
"60","15","2","250","10","2.25","3","2","2","2","301","507","195","940","1330","16","121","1515"
"63","15","2","250","10","2.25","3","2","2","2","301","231","146","397","1080","8","50","1076"
"62","15","2","250","10","2.25","3","2","2","2","301","286","224","454","1282","17","41","1132"
"61","15","2","250","10","2.25","3","2","2","2","301","1177","148","1855","1041","50","181","1938"
"67","15","2","250","10","2.25","3","2","2","2","301","0","96","5","811","0","2","783"
"65","15","2","250","10","2.25","3","2","2","2","301","379","137","601","920","15","51","783"
